customer_id,customer_name,customer_address,customer_age,customer_contactNumber,customer_email,customer_account
1,Aditya,9830 Mayfair Court,25,404-789-6747,Aditya@gmail.com,1
2,Alex,5 Wintergreen Avenue ,15,546-615-5445,Alex@gmail.com,2
3,Ben,76 Valley Farms Ave.,85,354-684-6518,Ben@gmail.com,3
4,Mark,9151 North Monroe Ave.,24,351-651-6516,Mark@gmail.com,4
5,Hari,26 Williams St. ,65,651-651-6541,Hari@gmail.com,5
6,Karissa,679 Augusta Lane ,21,812-183-5615,Karissa@gmail.com,6
7,Cameron,152 Strawberry St. ,23,183-584-1335,Cameron@gmail.com,7
8,Daniel,518 Depot Lane ,25,185-651-3513,Daniel@gmail.com,8
9,Zair,988 Annadale Ave. ,28,266-162-1354,Zair@gmail.com,9
10,Rahib,9777 Poor House Rd. ,31,138-984-3183,Rahib@gmail.com,10
11,Tom,2 Hill Field Dr. ,38,135-483-3874,Tom@gmail.com,11
12,Luis,27 Atlantic St. ,30,123-135-4683,Luis@gmail.com,12
13,Jose,7681 Lookout Street ,50,415-435-3518,Jose@gmail.com,13
14,Pedro,9 Ridgewood St. ,61,115-143-4386,Pedro@gmail.com,14
15,Phil,137 Academy Drive,21,135-796-4684,Phil@gmail.com,15
16,Sarah,7359 County Dr. ,22,468-358-6348,Sarah@gmail.com,16
17,Betty,75 Griffin Street ,34,486-438-6384,Betty@gmail.com,17
18,Tina,304 West Pierce Ave. ,25,346-483-4322,Tina@gmail.com,18
19,Patricia,736 Military Court ,75,153-483-2355,Patricia@gmail.com,19
20,Mandy,5 Circle St. ,18,153-477-4788,Mandy@gmail.com,20
